id,start_time,end_time,pallets_loaded,Duration,DurationFormatted
Truck_58,2023-12-09 04:50:39.900,2023-12-11 06:28:30.547,20,2 days 01:37:50.647000,49:37
Truck_59,2023-12-11 06:34:06.207,2023-12-11 09:29:23.610,20,0 days 02:55:17.403000,2:55
Truck_60,2023-12-11 09:30:43.360,2023-12-11 10:57:22.610,20,0 days 01:26:39.250000,1:26
Truck_61,2023-12-11 11:00:58.790,2023-12-11 22:34:59.530,20,0 days 11:34:00.740000,11:34
Truck_62,2023-12-11 23:04:56.670,2023-12-12 06:16:27.477,20,0 days 07:11:30.807000,7:11
Truck_63,2023-12-12 06:17:13.270,2023-12-12 11:18:55.743,20,0 days 05:01:42.473000,5:1
Truck_64,2023-12-12 11:19:41.007,2023-12-12 14:37:48.817,20,0 days 03:18:07.810000,3:18
Truck_65,2023-12-12 15:19:32.820,2023-12-12 16:31:14.750,20,0 days 01:11:41.930000,1:11
Truck_66,2023-12-12 16:35:35.420,2023-12-12 18:12:20.690,20,0 days 01:36:45.270000,1:36
Truck_67,2023-12-12 18:12:53.287,2023-12-12 20:22:27.350,20,0 days 02:09:34.063000,2:9
Truck_68,2023-12-12 20:25:37.217,2023-12-13 00:43:31.477,20,0 days 04:17:54.260000,4:17
Truck_69,2023-12-13 01:13:05.927,2023-12-13 02:39:03.403,20,0 days 01:25:57.476000,1:25
Truck_70,2023-12-13 02:41:10.610,2023-12-13 06:19:28.673,20,0 days 03:38:18.063000,3:38
Truck_71,2023-12-13 06:29:46.630,2023-12-13 07:41:04.730,20,0 days 01:11:18.100000,1:11
Truck_72,2023-12-13 07:41:51.020,2023-12-13 09:45:02.147,20,0 days 02:03:11.127000,2:3
Truck_73,2023-12-13 09:47:10.990,2023-12-13 13:00:49.060,20,0 days 03:13:38.070000,3:13
Truck_74,2023-12-13 13:03:34.620,2023-12-13 22:36:25.363,20,0 days 09:32:50.743000,9:32
Truck_75,2023-12-13 23:01:10.840,2023-12-14 01:25:52.583,20,0 days 02:24:41.743000,2:24
Truck_76,2023-12-14 01:28:37.510,2023-12-14 03:23:59.613,20,0 days 01:55:22.103000,1:55
Truck_77,2023-12-14 03:25:35.470,2023-12-14 03:39:03.503,20,0 days 00:13:28.033000,0:13
Truck_78,2023-12-14 04:12:05.480,2023-12-14 07:09:44.927,20,0 days 02:57:39.447000,2:57
Truck_79,2023-12-14 07:19:23.380,2023-12-14 08:27:49.480,20,0 days 01:08:26.100000,1:8
Truck_80,2023-12-14 08:33:59.327,2023-12-14 10:14:55.040,20,0 days 01:40:55.713000,1:40
Truck_81,2023-12-14 10:15:59.267,2023-12-14 12:48:47.620,20,0 days 02:32:48.353000,2:32
Truck_82,2023-12-14 12:50:03.153,2023-12-14 13:36:19.260,20,0 days 00:46:16.107000,0:46
Truck_83,2023-12-14 13:37:51.623,2023-12-14 23:28:21.850,20,0 days 09:50:30.227000,9:50
Truck_84,2023-12-14 23:29:02.580,2023-12-15 00:48:30.960,20,0 days 01:19:28.380000,1:19
