workorderno,Wo_Count,Pcs On Pallet
85521989,1,12
85521991,1,18
85521992,1,12
85522378,1,32
85522379,1,32
85522380,1,32
85522648,1,18
85522744,1,18
85523093,1,48
85523395,1,32
85523538,1,32
85523543,1,32
85523628,1,32
85523629,1,18
85524112,1,18
85524113,1,18
85524603,1,12
85524604,1,18
85524606,1,18
85524607,1,12
85524650,1,12
85524702,1,18
85524707,1,12
85525033,1,32
85525257,1,32
85525259,1,32
85525263,1,32
85525264,1,18
85525265,1,18
85525267,1,18
85525268,1,18
85525328,1,18
85525377,1,18
85526228,1,32
85526536,1,18
85526686,1,32
85526850,1,18
85526869,1,32
85526871,1,48
85526881,1,32
85528074,1,32
85528102,1,18
85528340,1,32
85528344,1,32
85528378,1,32
85528381,1,32
85528550,1,32
85528975,1,32
85529043,1,18
85529335,1,32
85529371,1,32
85529372,1,32
85529376,1,32
85529397,1,32
85529953,1,18
85530110,1,32
85530901,1,32
85530997,1,32
85531087,1,18
85531088,1,48
85531296,1,42
85531370,1,32
85531478,1,32
85531705,1,12
85531706,1,12
85531708,1,18
85531726,1,18
85531745,1,18
85531746,1,18
85531748,1,18
85531749,1,18
85531750,1,18
85531756,1,32
85531758,1,18
85531759,1,18
85531761,1,18
85531807,1,18
85531828,1,32
85532108,1,32
85532352,1,18
85532356,1,32
85532402,1,32
85532404,1,32
85533024,1,18
85533077,1,32
85533529,1,32
85533530,1,32
85533531,1,32
85533532,1,32
85533695,1,32
85533775,1,32
85533927,1,32
85533930,1,32
85534394,1,32
85534407,1,32
85534463,1,32
85534475,1,32
85534607,1,32
85534773,1,32
85535218,1,32
85535220,1,32
85535221,1,32
85535277,1,32
85535279,1,32
85535284,1,18
85535590,1,18
85536163,1,18
85536164,1,32
85536806,1,32
85537001,1,48
85537361,1,32
85537667,1,32
85537711,1,48
85537712,1,32
85537713,1,32
85537716,1,12
85537717,1,12
85537721,1,18
85538193,1,32
85538195,1,32
85538196,1,18
85538664,1,12
85538668,1,18
85538686,1,18
85538709,1,32
85538712,1,32
85538713,1,18
85538854,1,32
85538857,1,18
85539049,1,12
85539051,1,18
85539088,1,32
85539165,1,32
85539368,1,18
85539376,1,32
85539381,1,18
85539382,1,18
85539383,1,18
85539407,1,32
85539412,1,18
85539491,1,48
85539558,1,32
85539629,1,32
85539634,1,18
85539635,1,18
85539637,1,18
85539638,1,18
85539641,1,18
85539666,1,12
85540219,1,32
85540271,1,32
85540272,1,12
85540274,1,18
85540982,1,32
85541112,1,32
85541113,1,32
85541120,1,12
85541126,1,18
85541127,1,18
85542108,1,18
85542583,1,32
85542973,1,18
85542974,1,18
85543642,1,32
85543643,1,32
85543701,1,48
85543725,1,32
85543867,1,32
85543968,1,32
85543969,1,32
85544632,1,32
85544634,1,18
85545152,1,32
85545156,1,18
85545157,1,18
85545158,1,40
85545218,1,18
85545220,1,18
85545221,1,18
85545248,1,18
85545251,1,18
85545258,1,18
85545263,1,18
85545266,1,18
85545273,1,12
85545275,1,18
85545598,1,48
85545611,1,18
85546348,1,18
85546349,1,18
85546350,1,18
85546363,1,18
85547708,1,32
85547709,1,32
85547711,1,32
85547712,1,32
85547713,1,32
85547718,1,18
85547719,1,18
85548366,1,32
85550083,1,48
85550193,1,32
85550310,1,48
85550311,1,32
85550477,1,48
85550601,1,32
85550602,1,32
85550640,1,32
85550909,1,32
85551179,1,48
85551262,1,18
85551278,1,32
85551362,1,32
85551363,1,32
85551364,1,32
85551365,1,32
85551367,1,32
85551368,1,32
85551369,1,32
85551434,1,48
85551697,1,32
85551698,1,48
85551803,1,32
85552223,1,18
85552280,1,18
85552281,1,18
85552301,1,32
85552302,1,12
85552305,1,18
85552306,1,18
85552308,1,18
85552511,1,12
85552514,1,12
85552518,1,18
85552519,1,18
85552527,1,18
85552529,1,18
85552532,1,18
85552536,1,18
85552630,1,48
85552711,1,32
85552712,1,32
85553139,1,18
85553140,1,18
85553183,1,12
85553213,1,32
85553359,1,18
85553381,1,18
85553387,1,18
85553414,1,18
85553418,1,18
85553419,1,18
85553424,1,18
85553428,1,18
85554379,1,32
85554557,1,32
85554703,1,18
85554996,1,32
85555064,1,18
85555115,1,32
85555220,1,32
85555222,1,32
85555224,1,32
85555226,1,32
85555228,1,48
85555233,1,32
85555268,1,18
85555270,1,18
85555285,1,18
85555321,1,32
85555359,1,32
85555588,1,32
85555606,1,48
85555751,1,32
85556108,1,32
85556109,1,32
85556117,1,32
85556119,1,32
85556179,1,32
85556180,1,32
85556295,1,18
85556450,1,12
85556454,1,18
85556478,1,18
85556479,1,18
85556480,1,18
85556655,1,32
85556669,1,18
85556671,1,48
85556673,1,48
85556683,1,32
85556817,1,32
85556830,1,32
85556913,1,32
85556915,1,32
85556917,1,32
85556923,1,18
85557205,1,18
85557214,1,32
85557215,1,18
85557248,1,32
85557265,1,32
85557266,1,32
85557327,1,18
85557341,1,32
85557342,1,32
85557350,1,18
85557455,1,48
85558822,1,32
85558823,1,32
85559325,1,32
85559439,1,12
85559644,1,32
85559657,1,32
85559676,1,32
85559708,1,32
85559709,1,32
85559863,1,18
85559874,1,18
85559879,1,12
85559880,1,12
85559996,1,32
85560907,1,32
85560947,1,32
85560950,1,18
85560951,1,18
85561008,1,32
85561161,1,48
85561321,1,32
85561322,1,32
85561844,1,32
85561881,1,32
85561958,1,32
85561961,1,32
85562187,1,32
85562188,1,32
85562358,1,48
85562447,1,32
85562789,1,48
85562868,1,18
85562900,1,40
85562950,1,32
85563166,1,18
85563888,1,32
85564368,1,18
85564369,1,18
85564377,1,18
85564379,1,18
85564407,1,18
85564615,1,32
85564967,1,32
85565115,1,32
85565209,1,32
85565211,1,32
85565215,1,18
85565565,1,32
85565574,1,48
85566453,1,18
85566522,1,32
85566961,1,32
85567002,1,32
85567004,1,32
85567083,1,32
85567389,1,32
85567477,1,48
85567480,1,32
85567651,1,32
85567766,1,32
85567884,1,32
85567957,1,32
85568080,1,48
85568236,1,32
85568558,1,32
85569048,1,48
85571809,1,48
85571903,1,48
85571904,1,18
85571905,1,18
85571964,1,32
85572129,1,32
85572296,1,32
85572304,1,18
85572554,1,18
85572677,1,18
85572685,1,32
85572687,1,18
85572727,1,18
85572768,1,18
85572769,1,18
85573041,1,32
85573042,1,12
85573046,1,18
85573047,1,18
85573431,1,12
85573443,1,32
85573449,1,18
85573670,1,32
85573672,1,18
85573680,1,18
85573783,1,32
85573784,1,42
85573786,1,18
85574252,1,18
85574339,1,18
85574408,1,32
85574534,1,18
85574610,1,32
85574823,1,12
85574824,1,32
85574860,1,18
85574861,1,18
85575210,1,48
85575215,1,32
85575237,1,32
85575733,1,18
85576638,1,48
85576639,1,48
85577015,1,32
85577016,1,32
85577017,1,32
85577018,1,32
85577019,1,32
85577020,1,32
85577027,1,18
85577259,1,48
85577261,1,32
85577457,1,32
85577731,1,12
85577823,1,32
85577949,1,32
85577967,1,18
85577968,1,18
85577969,1,18
85577970,1,18
85577971,1,18
85577973,1,18
85577974,1,18
85577975,1,18
85577977,1,18
85577978,1,18
85577980,1,18
85577981,1,18
85577982,1,18
85577983,1,18
85577984,1,18
85577995,1,18
85578337,1,18
85578343,1,18
85578344,1,18
85578352,1,32
85578353,1,32
85578354,1,32
85578355,1,32
85578356,1,32
85578364,1,32
85578365,1,18
85578367,1,18
85578368,1,18
85578369,1,18
85578370,1,18
85578371,1,18
85578372,1,18
85578373,1,18
85578374,1,18
85578375,1,18
85578380,1,18
85578381,1,18
85578383,1,12
85578594,1,12
85578761,1,48
85579083,1,32
85579099,1,32
85579216,1,32
85579230,1,32
85579347,1,32
85579551,1,18
85579580,1,32
85579586,1,32
85579590,1,32
85580219,1,32
85580691,1,18
85581133,1,32
85582367,1,32
85582551,1,18
85582567,1,48
85582568,1,48
85582569,1,32
85582570,1,32
85583327,1,32
85583923,1,48
85583924,1,48
85583963,1,48
85583964,1,32
85583968,1,12
85583969,1,12
85583970,1,12
85583978,1,18
85583979,1,18
85584055,1,18
85584057,1,18
85584184,1,12
85584249,1,18
85584250,1,18
85584251,1,40
85584252,1,48
85584286,1,32
85584287,1,12
85584296,1,18
85584394,1,18
85584395,1,12
85584519,1,32
85584520,1,18
85584855,1,12
85585063,1,32
85585067,1,18
85585068,1,18
85585069,1,18
85585070,1,12
85585099,1,32
85585398,1,32
85585399,1,18
85585465,1,12
85585468,1,32
85585469,1,32
85585471,1,12
85585477,1,18
85585480,1,18
85585483,1,18
85585484,1,48
85585608,1,18
85585612,1,18
85585908,1,32
85585913,1,32
85585918,1,18
85585919,1,18
85585920,1,18
85585921,1,18
85585923,1,48
85585956,1,12
85585957,1,12
85585971,1,32
85586002,1,18
85586392,1,32
85586635,1,32
85586844,1,32
85586845,1,32
85586846,1,32
85586847,1,32
85586848,1,32
85586852,1,32
85586857,1,18
85586858,1,18
85586859,1,32
85586863,1,18
85586864,1,48
85587387,1,12
85588472,1,32
85588477,1,12
85588478,1,12
85588801,1,32
85588863,1,32
85589445,1,48
85589531,1,18
85589711,1,18
85589713,1,18
85589714,1,18
85589810,1,32
85589814,1,18
85589817,1,18
85589818,1,18
85589887,1,32
85589888,1,32
85589890,1,32
85590004,1,18
85590327,1,32
85590378,1,32
85590465,1,18
85590528,1,32
85590530,1,32
85590531,1,32
85590536,1,32
85590539,1,12
85590551,1,18
85590553,1,18
85590554,1,12
